gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP004883,6616.029949545411,6875.585080080927,5938.294961576676,6687.107849887865
AGAP011648,44.272076535073815,48.888390204672895,39.4174747202612,45.67976630930772
AGAP004885,551.0329199488854,572.8299620639067,610.4038062151827,684.2945096916811
AGAP004886,1244.5428601118708,1171.3042144391393,1250.9429147116955,1168.6820983424534
AGAP004887,14513.924097954134,15043.642844454806,15133.239175117813,15456.935203222525
AGAP004888,11.97501000328623,12.23305927695661,12.029655210452862,11.403356529999641
AGAP004889,780.3782950125754,763.3230464555687,826.7955759901902,887.2313160011379
AGAP004890,1794.2933360670422,1624.864117950848,1898.7488557854115,1356.4922407799168
AGAP009085,35.05164195151854,38.216048162655476,32.41725325533653,36.49027430778384
AGAP006514,28.328061582235872,28.508693012543652,26.28443417069891,28.25912742035398
AGAP004893,201.38393351997215,211.14399546719258,165.3428371066673,182.93827877147203
AGAP004895,34.40365747958833,36.63523365690405,45.10608183885966,33.967820889272154
AGAP008794,226.1516274788262,198.86958267493026,205.7589128593616,214.41453245906675
AGAP004897,,,,
AGAP004899,,,,
AGAP004771,,,,
AGAP012093,247.7368812148059,204.1638327735236,190.46912844295304,227.85468351555437
AGAP004903,260.8858428113251,277.9438790850821,306.7996913031373,269.9365296291302
AGAP004904,960.561963239336,959.1504118430832,828.1298497165712,1203.5387522771234
AGAP004823,36.15015738346156,39.41687760003791,35.21561517488321,38.73829117466053
AGAP004906,1642.2407110878987,1645.1461281649722,1568.1344126186527,1506.3764651722272
AGAP004907,24.188930723615016,20.912496750832922,20.28868597704907,21.09218512161044
AGAP004908,25.190453380948483,25.519770555681514,25.809736295138343,30.503088229841666
AGAP004909,97.38888582975716,97.29788770842282,110.19335566180524,101.02556760508219
AGAP004910,82.8525909662904,80.24019767611709,85.01173416502549,81.93984814307548
AGAP004911,,,,
AGAP004912,273.0733840587856,256.4718115905992,256.50916898016436,266.0283986389452
AGAP004913,14.378437181133279,15.10432685807037,13.459908355603073,16.027195220432368
AGAP004914,24.98758966835161,25.87212469255064,23.602260961152155,26.53019245366161
AGAP008436,105.11610131806121,71.42167521418553,63.74616600562834,87.19457758229566
AGAP004916,,,,
AGAP004917,,,,
AGAP004918,,,,
AGAP004919,15771.143966944293,15397.053697108962,15759.124746008936,15937.081748009732
